event,backend,optimization_mode,repeat_index,completed_samples,total_samples,percent_complete,elapsed_seconds,eta_remaining_seconds,run_id
samples_progress,sglang,spec_decode,1,180,300,60.0,694.2462069161702,462.83080461078015,20260429T230230Z_black_box_vllm_sglang
samples_progress,llama_cpp,baseline,1,300,300,100.0,711.9253286661115,0.0,20260429T230230Z_black_box_vllm_sglang
samples_progress,vllm,kv_cache_quant,1,150,300,50.0,741.0832246670034,741.0832246670034,20260429T230230Z_black_box_vllm_sglang
samples_progress,sglang,baseline,1,150,300,50.0,751.3370874579996,751.3370874579996,20260429T230230Z_black_box_vllm_sglang
samples_progress,vllm,baseline,1,150,300,50.0,758.2342533341143,758.2342533341143,20260429T230230Z_black_box_vllm_sglang
samples_progress,sglang,kv_cache_quant,1,150,300,50.0,762.0870827499311,762.0870827499311,20260429T230230Z_black_box_vllm_sglang
samples_progress,vllm,spec_decode,1,210,300,70.0,791.2233681669459,339.09572921440537,20260429T230230Z_black_box_vllm_sglang
samples_progress,sglang,spec_decode,1,210,300,70.0,804.8556098751724,344.93811851793106,20260429T230230Z_black_box_vllm_sglang
samples_progress,vllm,kv_cache_quant,1,180,300,60.0,887.8042620418128,591.8695080278752,20260429T230230Z_black_box_vllm_sglang
samples_progress,vllm,spec_decode,1,240,300,80.0,904.715979832923,226.17899495823076,20260429T230230Z_black_box_vllm_sglang
samples_progress,sglang,spec_decode,1,240,300,80.0,911.3573587501887,227.83933968754718,20260429T230230Z_black_box_vllm_sglang
samples_progress,sglang,baseline,1,180,300,60.0,915.5524021668825,610.368268111255,20260429T230230Z_black_box_vllm_sglang
samples_progress,vllm,baseline,1,180,300,60.0,917.624338041991,611.7495586946607,20260429T230230Z_black_box_vllm_sglang
samples_progress,sglang,kv_cache_quant,1,180,300,60.0,920.8037280829158,613.8691520552771,20260429T230230Z_black_box_vllm_sglang
samples_progress,sglang,spec_decode,1,270,300,90.0,1018.6710328750778,113.1856703194531,20260429T230230Z_black_box_vllm_sglang
samples_progress,vllm,spec_decode,1,270,300,90.0,1033.5078544579446,114.83420605088274,20260429T230230Z_black_box_vllm_sglang
samples_progress,sglang,baseline,1,210,300,70.0,1034.3974422919564,443.3131895536956,20260429T230230Z_black_box_vllm_sglang
samples_progress,sglang,kv_cache_quant,1,210,300,70.0,1047.4774532918818,448.9189085536636,20260429T230230Z_black_box_vllm_sglang
samples_progress,vllm,kv_cache_quant,1,210,300,70.0,1069.3503054578323,458.2929880533567,20260429T230230Z_black_box_vllm_sglang
samples_progress,vllm,baseline,1,210,300,70.0,1071.967792334035,459.41476814315786,20260429T230230Z_black_box_vllm_sglang
