backend,optimization_mode,repeat_index,workload,workload_class,mean_latency_s,median_latency_s,p95_latency_s,p99_latency_s,success_rate,token_throughput_est,mean_ttft_s,median_ttft_s,p95_ttft_s,ttft_missing_rate,mean_tpot_s,median_tpot_s,mean_prompt_tokens,mean_completion_tokens,token_counts_missing_rate,run_id
llama_cpp,baseline,1,public,medium,2.410921192695387,1.773755812435411,5.248733802337664,6.40018009447259,1.0,63.62160120845006,0.9401181430649012,0.2054289790103212,3.963842926744832,0.0,0.0095784335892112,0.00958006441585,120.85333333333334,153.38666666666666,0.0,20260429T230230Z_black_box_vllm_sglang
sglang,baseline,1,public,medium,5.007614643590835,4.512537666945718,9.128666418639472,10.48862279728055,1.0,29.921098965772572,1.0457987361323708,0.2064697711030021,4.3490944021148605,0.0,0.0264097893872982,0.0264153386129884,120.85333333333334,149.83333333333334,0.0,20260429T230230Z_black_box_vllm_sglang
sglang,kv_cache_quant,1,public,medium,5.079195908613813,4.654740563011728,8.832525910728142,10.628125532492993,1.0,29.851181708283292,1.0860472019094354,0.1934121040394529,4.372102439578156,0.0,0.0263125986481656,0.0263339208586589,120.85333333333334,151.62,0.0,20260429T230230Z_black_box_vllm_sglang
sglang,spec_decode,1,public,medium,3.769145529684611,3.313075104029849,7.022217439441006,8.23952570583205,1.0,40.08158670009609,1.0144438341942923,0.193865624954924,3.9842999941087327,0.0,0.0181175049219718,0.0179389711455901,120.85333333333334,151.07333333333332,0.0,20260429T230230Z_black_box_vllm_sglang
vllm,baseline,1,public,medium,5.0535813639437155,4.606935812509619,8.358343308081382,9.811238584748931,1.0,30.089552151058147,1.0571019786099594,0.2194853335386142,3.930538548179901,0.0,0.0262720983857827,0.0262922707095127,120.85333333333334,152.06,0.0,20260429T230230Z_black_box_vllm_sglang
vllm,kv_cache_quant,1,public,medium,4.939319122247398,4.479630937450565,7.875382148253265,8.853068270538932,1.0,30.1188611192584,1.0479427771378929,0.2143020629882812,4.145356285222798,0.0,0.0261355517307042,0.0261666025910909,120.85333333333334,148.76666666666668,0.0,20260429T230230Z_black_box_vllm_sglang
vllm,spec_decode,1,public,medium,3.7055618647268664,3.098000916535966,7.294805314519908,8.363539122620129,1.0,40.78373865654138,1.068976577538997,0.2627051034942269,3.98259214991703,0.0,0.0173616772096474,0.0171909634936026,120.85333333333334,151.1266666666667,0.0,20260429T230230Z_black_box_vllm_sglang
